,City,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sarangani,5.4033,125.4636,28.400000000000034,74.0,100.0,4.86,PH,1623088730.0
1,fairbanks,64.8378,-147.7164,18.340000000000032,59.0,20.0,1.54,US,1623088664.0
3,waldoboro,44.0954,-69.3756,35.72000000000003,48.0,38.0,5.15,US,1623088731.0
4,aksu,41.1231,80.2644,25.590000000000032,28.0,60.0,5.29,CN,1623088731.0
5,wajima,37.4,136.9,18.05000000000001,85.0,2.0,3.52,JP,1623088731.0
6,reconquista,-29.15,-59.65,14.910000000000025,86.0,100.0,2.82,AR,1623088732.0
7,lewiston,44.1003,-70.2148,35.74000000000001,42.0,1.0,5.14,US,1623088442.0
8,lensk,60.7253,114.9278,11.590000000000032,57.0,89.0,2.02,RU,1623088732.0
9,diamantino,-14.4086,-56.4461,34.22000000000003,30.0,54.0,1.65,BR,1623088732.0
11,mayahi,13.9553,7.6712,36.950000000000045,16.0,16.0,3.19,NE,1623088733.0
12,severo-yeniseyskiy,60.3725,93.0408,-0.6099999999999568,78.0,22.0,0.76,RU,1623088733.0
13,krasnaya poyma,55.0014,39.08,15.910000000000025,91.0,86.0,2.51,RU,1623088734.0
14,umm lajj,25.0213,37.2685,29.54000000000002,56.0,0.0,5.66,SA,1623088734.0
15,merauke,-8.4667,140.3333,24.660000000000025,91.0,47.0,5.29,ID,1623088734.0
16,kavieng,-2.5744,150.7967,27.33000000000004,77.0,100.0,2.97,PG,1623088735.0
17,sayat,38.7839,63.8803,31.930000000000007,14.0,15.0,7.97,TM,1623088735.0
18,meulaboh,4.1363,96.1285,24.879999999999995,87.0,100.0,1.42,ID,1623088735.0
19,peniche,39.3558,-9.3811,22.710000000000036,80.0,2.0,7.97,PT,1623088736.0
20,ocampo,21.65,-101.5,24.600000000000023,25.0,17.0,2.62,MX,1623088736.0
22,larsnes,62.2028,5.5773,21.230000000000018,72.0,27.0,3.89,NO,1623088736.0
23,maraa,-1.8333,-65.3667,32.650000000000034,50.0,43.0,1.3,BR,1623088737.0
24,cochrane,51.1834,-114.4687,11.230000000000018,65.0,90.0,4.49,CA,1623088737.0
25,saint-pierre,-21.3393,55.4781,21.82000000000005,77.0,75.0,6.69,RE,1623088704.0
26,tres arroyos,-38.3739,-60.2798,14.160000000000025,44.0,98.0,6.39,AR,1623088737.0
27,adrar,20.5022,-10.0711,42.27000000000004,8.0,7.0,2.77,MR,1623088738.0
28,mabaruma,8.2,-59.7833,24.450000000000045,96.0,99.0,2.46,GY,1623088738.0
29,tuy hoa,13.0833,109.3,26.05000000000001,85.0,100.0,4.63,VN,1623088734.0
30,batagay,67.6333,134.6333,6.270000000000039,59.0,50.0,7.83,RU,1623088739.0
33,mount vernon,40.9126,-73.8371,35.710000000000036,57.0,20.0,2.68,US,1623088623.0
34,itoman,26.1247,127.6694,27.010000000000048,83.0,75.0,4.12,JP,1623088739.0
35,colombo,6.9319,79.8478,26.970000000000027,86.0,55.0,4.46,LK,1623088740.0
36,sistranda,63.7256,8.834,15.980000000000018,88.0,68.0,5.99,NO,1623088740.0
37,riyadh,24.6877,46.7219,42.03000000000003,8.0,0.0,5.66,SA,1623088316.0
38,viedma,-40.8135,-62.9967,16.58000000000004,26.0,15.0,8.4,AR,1623088740.0
39,nadym,65.5333,72.5167,5.770000000000039,60.0,85.0,2.79,RU,1623088260.0
40,mana,5.6592,-53.7767,27.310000000000002,82.0,65.0,4.4,GF,1623088741.0
41,nzerekore,7.7562,-8.8179,21.82000000000005,98.0,89.0,1.55,GN,1623088741.0
42,te anau,-45.4167,167.7167,4.970000000000027,94.0,20.0,0.56,NZ,1623088742.0
43,touros,-5.1989,-35.4608,25.5,68.0,54.0,6.62,BR,1623088491.0
44,pevek,69.7008,170.3133,2.6100000000000136,88.0,91.0,3.29,RU,1623088742.0
45,nhulunbuy,-12.2333,136.7667,22.340000000000032,94.0,58.0,2.06,AU,1623088743.0
46,ixtapa,20.7,-105.2,33.76000000000005,43.0,72.0,2.89,MX,1623088743.0
47,praya,14.9215,-23.5087,30.30000000000001,35.0,0.0,10.8,CV,1623088743.0
48,darlowo,54.421,16.4107,16.49000000000001,73.0,0.0,2.39,PL,1623088744.0
49,fraga,41.5229,0.3489,31.960000000000036,18.0,1.0,6.19,ES,1623088744.0
50,los llanos de aridane,28.6585,-17.9182,19.860000000000014,86.0,20.0,2.3,ES,1623088744.0
51,howard springs,-12.497,131.047,22.950000000000045,94.0,39.0,1.71,AU,1623088745.0
52,husavik,66.0449,-17.3389,10.950000000000045,76.0,99.0,1.9,IS,1623088691.0
53,straumen,63.8709,11.2999,20.0,68.0,59.0,0.88,NO,1623088745.0
54,lukulu,-14.3707,23.242,17.54000000000002,45.0,21.0,1.95,ZM,1623088746.0
55,isoka,-10.1606,32.6335,16.110000000000014,68.0,99.0,2.13,ZM,1623088746.0
56,urumqi,43.801,87.6005,21.53000000000003,28.0,0.0,1.1,CN,1623088212.0
57,niquero,20.0431,-77.5828,30.52000000000004,61.0,39.0,2.34,CU,1623088746.0
58,buchanan,5.8808,-10.0467,27.090000000000032,81.0,72.0,3.8,LR,1623088747.0
59,saint anthony,45.0205,-93.218,32.920000000000016,55.0,5.0,0.89,US,1623088747.0
60,vila franca do campo,37.7167,-25.4333,21.230000000000018,66.0,76.0,3.47,PT,1623088643.0
61,sakakah,29.9697,40.2064,35.76000000000005,9.0,6.0,3.76,SA,1623088748.0
62,santa barbara,34.7333,-120.0343,20.189999999999998,72.0,90.0,2.24,US,1623088673.0
63,kazerun,29.6195,51.6541,29.680000000000007,11.0,0.0,2.0,IR,1623088748.0
64,cidreira,-30.1811,-50.2056,17.5,79.0,100.0,7.02,BR,1623088748.0
65,ostrovnoy,68.0531,39.5131,6.160000000000025,65.0,33.0,3.16,RU,1623088749.0
66,haines junction,60.7522,-137.5108,8.970000000000027,87.0,100.0,0.51,CA,1623088634.0
67,avera,33.194,-82.5271,31.03000000000003,91.0,100.0,2.48,US,1623088749.0
69,wokha,26.1,94.2667,15.150000000000034,98.0,87.0,1.07,IN,1623088750.0
70,aripuana,-9.1667,-60.6333,34.69,36.0,95.0,1.72,BR,1623088751.0
71,kangaatsiaq,68.3065,-53.4641,3.590000000000032,81.0,97.0,3.15,GL,1623088751.0
72,tigil,57.8,158.6667,8.870000000000005,80.0,100.0,1.84,RU,1623088752.0
73,ucluelet,48.9329,-125.5528,13.939999999999998,86.0,82.0,2.82,CA,1623088533.0
74,talnakh,69.4865,88.3972,-2.4399999999999977,94.0,100.0,1.12,RU,1623088753.0
75,atherton,53.5237,-2.4935,21.200000000000045,59.0,100.0,3.13,GB,1623088753.0
76,geri,35.1,33.4167,25.660000000000025,29.0,0.0,5.66,CY,1623088753.0
77,englehart,47.8169,-79.8664,32.01000000000005,45.0,75.0,5.56,CA,1623088754.0
79,belmonte,-15.8631,-38.8828,28.0,85.0,81.0,3.44,BR,1623088754.0
80,moshenskoye,58.5102,34.5911,14.240000000000009,87.0,73.0,2.86,RU,1623088754.0
82,hays,30.0502,-98.0336,28.939999999999998,83.0,100.0,2.24,US,1623088755.0
83,tigre,-34.426,-58.5796,16.25,75.0,0.0,4.12,AR,1623088611.0
84,sola,-13.8833,167.55,26.07000000000005,77.0,97.0,9.4,VU,1623088755.0
85,wajir,1.7471,40.0573,30.980000000000018,45.0,1.0,6.17,KE,1623088756.0
86,chenzhou,25.8,113.0333,23.850000000000023,84.0,84.0,1.39,CN,1623088756.0
87,gondar,12.6,37.4667,19.840000000000032,54.0,86.0,3.19,ET,1623088756.0
88,port lincoln,-34.7333,135.8667,10.860000000000014,64.0,94.0,11.36,AU,1623088757.0
89,hit,33.6416,42.8251,31.840000000000032,15.0,0.0,4.8,IQ,1623088757.0
90,amazar,53.858,120.875,12.450000000000045,95.0,13.0,1.55,RU,1623088757.0
